group,cells,rest_cells,significant_default,significant_tie,new_significant_tie,top20_overlap_tie,p_zero_default,p_zero_tie,q_zero_default,q_zero_tie,lfc_abs_delta_median,lfc_abs_delta_p95,lfc_abs_delta_max,lfc_sign_reversals,lfc_reversals_at_least_one_abs_lte1,lfc_reversals_both_abs_gt1,lfc_reversals_both_abs_gt1_default_q_lt005,positive_lfc_gt1_default,positive_lfc_gt1_arithmetic,top5_default,top5_tie
0,3951,13090,5434,12223,6789,17,196,269,196,269,0.28480194063686065,0.8238342567343058,4.144123583633911,2573,2572,1,0,774,469,"['TPT1', 'RPL34', 'RPL30', 'RPS14', 'RPL32']","['TPT1', 'CD3D', 'RPL34', 'RPL30', 'RPS14']"
1,1440,15601,7925,13404,5479,4,215,816,215,816,0.3729914287587549,0.9040277283593878,4.055954466319506,2090,2089,1,0,3598,2565,"['LYZ', 'MNDA', 'CST3', 'S100A9', 'AC020656.1']","['CSTA', 'S100A12', 'MNDA', 'AC020656.1', 'CD14']"
2,974,16067,2449,7176,4727,13,6,43,6,43,0.17189510096501273,0.91538145839342,3.692409826513434,1033,1032,1,1,519,507,"['MS4A1', 'CD74', 'RALGPS2', 'HLA-DQA1', 'IGHM']","['MS4A1', 'LINC00926', 'BANK1', 'RALGPS2', 'TNFRSF13C']"
3,84,16957,3704,8316,4612,2,0,87,0,87,0.48795485325102883,1.0149068503540706,4.370333286489851,1639,1638,1,1,2565,1696,"['IRF8', 'CCDC50', 'ITM2C', 'IRF7', 'APP']","['LILRA4', 'SCT', 'PTCRA', 'PACSIN1', 'AC011893.1']"
4,3045,13996,8544,14350,5806,20,240,313,240,313,0.6880570000501873,0.9990904758851976,3.6333384435168767,4065,4064,1,0,109,1092,"['MT-ATP6', 'MT-CYB', 'MTRNR2L12', 'MT-CO3', 'MT-ND4']","['MT-ATP6', 'MT-CYB', 'MTRNR2L12', 'MT-CO3', 'MT-ND4']"
5,1694,15347,9293,15641,6348,13,289,366,289,366,0.5335322724505218,1.0183056382905435,3.75117027415737,88,88,0,0,184,135,"['HBB', 'HBA2', 'HBA1', 'UBB', 'BPGM']","['IFIT1B', 'GMPR', 'BPGM', 'TRIM58', 'SELENBP1']"
6,381,16660,2585,6851,4266,4,0,2,0,2,0.2936922351225916,0.9846569145246439,3.633381510914351,922,921,1,0,721,720,"['SAT1', 'MT-CO1', 'NEAT1', 'MT-ND2', 'MT-ND1']","['AC104809.2', 'TNFAIP2', 'HES4', 'MAFB', 'PLAUR']"
7,459,16582,2482,6098,3616,9,0,52,0,52,0.21054556530306656,0.9636658004356589,4.099184015861214,850,850,0,0,1167,939,"['NKG7', 'GNLY', 'KLRD1', 'PRF1', 'CST7']","['KLRF1', 'TRDC', 'SH2D1B', 'KLRD1', 'CLIC3']"
8,386,16655,2329,6445,4116,5,0,64,0,64,0.20275905676301464,0.9739234128094546,3.9170480158410674,658,658,0,0,1084,991,"['CD79B', 'TCL1A', 'SOX4', 'CD24', 'IGHM']","['BMP3', 'MME', 'ADAM23', 'DTX1', 'HRK']"
9,1057,15984,8166,13222,5056,3,131,860,131,860,0.47369489943774823,0.96618118570714,3.6333719626833307,1656,1656,0,0,2046,1521,"['PRDX2', 'CA2', 'AHSP', 'HMGB2', 'HEMGN']","['AQP1', 'DLGAP5', 'PRC1', 'BIRC5', 'TPX2']"
10,106,16935,1156,5386,4230,3,0,18,0,18,0.4861988523512564,1.008508279877913,4.4782717971543455,1481,1481,0,0,551,452,"['TXNDC5', 'HSP90B1', 'MZB1', 'ITM2C', 'SEC11C']","['SDC1', 'IGF1', 'SCNN1B', 'TNFRSF17', 'BHLHE41']"
11,911,16130,2832,7315,4483,11,20,60,20,60,0.23463692267752703,0.9373194379435785,4.037827282479422,1644,1642,2,2,756,531,"['IGKC', 'CD79A', 'CD74', 'HLA-DRA', 'CD37']","['MS4A1', 'CD79A', 'LINC00926', 'BANK1', 'TNFRSF13C']"
12,1300,15741,3106,7758,4652,11,14,44,14,44,0.17863788979923356,0.8919349902618267,4.0856655897450604,1353,1353,0,0,705,452,"['CCL5', 'IL32', 'B2M', 'NKG7', 'HLA-C']","['CCL5', 'GZMA', 'CST7', 'GZMK', 'NKG7']"
13,624,16417,5084,10696,5612,7,1,68,1,68,0.4549695407411205,0.9834121183352019,3.6333781707673545,322,322,0,0,509,498,"['SLC25A37', 'HBD', 'SLC4A1', 'SNCA', 'BNIP3L']","['YPEL4', 'RHAG', 'TSPO2', 'LINC02772', 'SOX6']"
14,61,16980,4442,10100,5658,6,0,0,0,0,0.5875108893789229,1.0153064517845114,3.63338576096454,3161,3160,1,0,1699,887,"['S100A9', 'AC020656.1', 'LYZ', 'S100A8', 'CST3']","['S100A12', 'SERPINA1', 'AC020656.1', 'OVOL3', 'FPR1']"
15,503,16538,9424,16477,7053,3,0,143,0,143,0.4006180643120286,0.9216886454598051,4.052269356471958,2228,2228,0,0,4365,2685,"['SOX4', 'STMN1', 'H2AFY', 'GAPDH', 'TCF4']","['CD34', 'ERG', 'EGFL7', 'PRSS57', 'C1QTNF4']"
16,65,16976,1602,4242,2640,10,0,0,0,0,0.6756173397279106,1.04084125438801,3.6481227339434583,119,119,0,0,206,177,"['HBG1', 'HBG2', 'HBA1', 'SNCA', 'BPGM']","['HBG1', 'HBG2', 'AC104389.5', 'IFIT1B', 'TMCC2']"
