method,group,gene,score,log10_two_sided_p
default,0,RPL22,77.62156756458143,-1310.3236390040845
default,0,RPL11,82.2318731131467,-1470.3803869437459
default,0,RCAN3,55.897899076753326,-680.338461019407
default,0,CD52,53.79411538482492,-630.2111179886724
default,0,LCK,49.165493492857905,-526.6881452213762
default,0,NDUFS5,38.308237412335416,-320.34979538011635
default,0,RPS8,75.89346078383443,-1252.7067942327476
default,0,RPL5,76.72147462846043,-1280.1518112718709
default,0,CD2,49.77800065042706,-539.8534220575058
default,0,TXNIP,44.34918627347327,-428.84128715152383
default,0,RPS27,79.97628589908074,-1390.9196409935937
default,0,SSR2,40.01389892376075,-349.37761813943916
default,0,CD48,63.63952448156153,-881.3458478213898
default,0,GAS5,67.99684014918468,-1005.92617008551
default,0,TOMM20,44.68973226089803,-435.42891119778517
default,0,RPS7,70.86628684552906,-1092.4686772636605
default,0,OST4,43.83943365479444,-419.07455200841656
default,0,RPS27A,81.31479217440248,-1437.8065738961834
default,0,TMSB10,50.41278149996732,-553.6693094850426
default,0,MAL,49.01170668414128,-523.4082189227616
default,0,RPL31,73.39620963888105,-1171.7367805773783
default,0,MZT2B,41.44585028301663,-374.7223135818047
default,0,CXCR4,38.61300859970951,-325.4438973870091
default,0,EEF1B2,72.83404844173594,-1153.8828587083794
default,0,RPL37A,73.7650142314513,-1183.5243484294172
default,0,RPL32,84.15587879512525,-1539.9059873874712
default,0,OXNAD1,45.43901608554763,-450.100515626687
default,0,RPL15,60.55442165982272,-798.1240750855136
default,0,RPSA,69.46014219573163,-1049.6126444513527
default,0,RPL14,80.79815247777053,-1419.6168603837848
default,0,TMA7,49.071120415296555,-524.6741629545188
default,0,RPL29,74.17629067549731,-1196.7390369879774
default,0,RPL24,75.84125699123817,-1250.986444468343
default,0,RPL35A,80.70924404657863,-1416.4982849648927
default,0,RPL9,82.22572215737502,-1470.1606945294316
default,0,LEF1,44.84179038168482,-438.38662639144064
default,0,RPL34,84.80419211634678,-1563.6954249976486
default,0,SNHG8,50.17164890539133,-548.4004995584622
default,0,RPS3A,81.34114313459659,-1438.73743806079
default,0,IL7R,60.05617394822017,-785.0712527087132
default,0,FYB1,42.1281285399781,-387.11128614442407
default,0,RPL37,79.83683779110125,-1386.079618580427
default,0,BTF3,53.79746944529071,-630.2895066858407
default,0,NSA2,46.707251288767374,-475.4889682245955
default,0,RPS23,73.98962189775882,-1190.7320955925568
default,0,COX7C,60.593663060321816,-799.1566787170055
default,0,HINT1,54.94614106401848,-657.4226895141335
default,0,TCF7,53.582595565021414,-625.2774943162092
default,0,NDFIP1,40.420031737125456,-356.47551671661904
default,0,RPS14,84.30134871463406,-1545.2280301205594
default,0,NPM1,65.28386646179796,-927.3908648951591
default,0,RACK1,63.612695687670715,-880.6043189832375
default,0,HIST1H4C,44.36948590345406,-429.23255836472805
default,0,HLA-C,44.651245431757864,-434.6818872604521
default,0,LTB,64.16928707813473,-896.0521229365597
default,0,SNHG32,44.788677044638824,-437.3523668517306
default,0,GPSM3,38.45320551421679,-322.7678394980822
default,0,RPS18,80.1109132369848,-1395.6003531895317
default,0,RPS10,71.10771647186247,-1099.9132512044134
default,0,RPL10A,75.24058313610443,-1231.2766822945848
default,0,EEF1A1,78.61260941092357,-1343.9510547625632
default,0,RPS12,84.01518905750139,-1534.767569509414
default,0,TNFAIP3,41.76631987550811,-380.51631390114454
default,0,NDUFA4,37.79796821668716,-311.91114207509605
default,0,TOMM7,69.88679602920689,-1062.5253371884694
default,0,TRBC1,41.530561526331915,-376.24953486277883
default,0,TRBC2,59.43230394224133,-768.8794188351555
default,0,GIMAP7,52.35504079814417,-597.0286860353546
default,0,SARAF,65.76875143415204,-941.1927951873303
default,0,LEPROTL1,62.91177453686612,-861.3420936828932
default,0,RPS20,75.55093335474835,-1241.440565040349
default,0,SNHG6,56.18950124124249,-687.4381613288974
default,0,RPL7,69.03546980391768,-1036.8384101340384
default,0,UQCRB,61.03472201157314,-810.808753050231
default,0,RPL30,84.75741607176504,-1561.972899189659
default,0,COX6C,45.69983948724759,-455.2648378356438
default,0,EIF3E,58.257150374159366,-738.8385960873604
default,0,EIF3H,39.81398179167416,-345.9100012606983
default,0,EEF1D,61.90752307944859,-834.1157104571112
default,0,RPL8,63.54547241968833,-878.7476880976387
default,0,RPS6,78.05806772407755,-1325.0821375096962
default,0,AL499604.1,45.10383327401618,-443.5072304847028
default,0,ATP6V1G1,40.21982126311694,-352.967532977923
default,0,RPL35,66.90808407923964,-974.0248900275786
default,0,RPL12,70.99028561228714,-1096.289064870984
default,0,RPL7A,67.26298352674353,-984.3671383430009
default,0,PRKCQ-AS1,52.66159786589829,-604.0219695853718
default,0,SPOCK2,42.89210159973694,-401.2234833372374
default,0,ANAPC16,41.53309459839986,-376.29525045196846
default,0,RPS24,60.47203132303437,-795.9582198866591
default,0,RGS10,49.84720904990625,-541.3512337665668
default,0,IFITM2,38.12548539497584,-317.31451820557464
default,0,RPLP2,79.34600849376324,-1369.1108788149547
default,0,HBB,-57.52958492123875,-720.5401304213048
default,0,RPL27A,76.97988118791055,-1288.7778032690994
default,0,RPS13,80.57962566036028,-1411.957906273169
default,0,EEF1G,68.98750378738849,-1035.40050415661
default,0,PLAAT4,40.705206208180726,-361.50223448213427
default,0,FAU,67.18223332183311,-982.009162463504
default,0,RPS3,79.31739750932789,-1368.1249788096643
default,0,TMEM123,40.10380361053654,-350.9426938512289
default,0,CD3E,70.02855766404231,-1066.8332519031458
default,0,CD3D,74.32982104064698,-1201.6909346309217
default,0,CD3G,69.42254277202822,-1048.4784862836086
default,0,ATP5MG,43.16175477777863,-406.26503785370016
default,0,RPS25,82.39477381553824,-1476.2046566735567
default,0,ETS1,41.77818269662748,-380.73164596846715
default,0,CD27,53.267882115903575,-617.9728662009642
default,0,C12orf57,60.928373572909784,-807.9914693706578
default,0,YBX3,-40.89907201005401,-364.93962540517117
default,0,LDHB,71.21381031187661,-1103.1926995884037
default,0,PCED1B-AS1,58.710976156226565,-750.3688240725187
default,0,PFDN5,58.480551464259726,-744.5033118568765
default,0,HNRNPA1,39.81552229799371,-345.93665544190884
default,0,RPS26,68.60984727946354,-1024.1141657595072
default,0,RPL41,75.99965978416019,-1256.2101812125281
default,0,NACA,71.47322973117038,-1111.232154620426
default,0,RPL6,71.9222015346427,-1125.2149222440244
default,0,RPLP0,52.23296997043271,-594.255322672671
default,0,RPL21,78.63904708225182,-1344.8539616515984
default,0,TPT1,86.2964556817012,-1619.1466092052503
default,0,ITM2B,46.044243197683336,-462.1292973206499
default,0,COMMD6,57.01076268691095,-707.6319893173624
default,0,TRAC,67.6808131186303,-996.613350556437
default,0,RPS29,83.46335386499162,-1514.6958400455262
default,0,RPL36AL,51.53412804193007,-578.5026544211546
default,0,SRSF5,46.39859285969833,-469.245734900075
default,0,CALM1,48.78833695764264,-518.6625317320936
default,0,BCL11B,61.07126798724246,-811.7780286484095
default,0,B2M,55.49569224835627,-670.6064218646399
default,0,RPL4,56.0813779917056,-684.8013549594258
default,0,RPLP1,69.29802189354749,-1044.7267909194056
default,0,RPS17,61.58628600117396,-825.499049542249
default,0,HBA2,-53.272824650550355,-618.0872521078546
default,0,HBA1,-47.95651335786711,-501.1802215508655
default,0,RPS2,72.12384366482362,-1131.5233424438334
default,0,IL32,66.2473415471501,-954.9156520379264
default,0,RPS15A,84.11498988307723,-1538.411713739442
default,0,LAT,39.81665876732645,-345.95631954598394
default,0,COX4I1,51.59608406974203,-579.8906464495326
default,0,APRT,47.548105760919164,-492.70672311333766
default,0,RPL13,83.03989173922032,-1499.3830534083822
default,0,RPL26,71.74476657023273,-1119.6784316027026
default,0,SNHG29,59.39998282821484,-768.045165359728
default,0,RPL23A,74.15354099474723,-1196.006149940146
default,0,RPL23,64.28326240676813,-899.2320204024205
default,0,RPL19,80.33288267091274,-1403.3349534948031
default,0,CCR7,44.23383463619988,-426.62130405930645
default,0,EIF1,44.33853740823205,-428.6361039816317
default,0,RPL27,73.10913121270988,-1162.6021870438474
default,0,RPL38,79.65382010558596,-1379.7401786674295
default,0,CD7,46.30143211141982,-467.28902276671647
default,0,MYL12A,52.15656823665423,-592.5228205493576
default,0,RPL17,75.26691011236781,-1232.1372599672316
default,0,CIRBP,39.27241910118502,-336.6035915606014
default,0,RPS15,75.37185825846045,-1235.5708019646893
default,0,TLE5,45.828526190003224,-457.8237231020704
default,0,EEF2,39.83587543058919,-346.2889065465578
default,0,RPL36,80.8231215945714,-1420.493301011122
default,0,RPS28,81.88068195031622,-1457.8632737957776
default,0,JUNB,54.799671199090255,-653.9310076380245
default,0,C19orf53,39.90778847948688,-347.53494360015213
default,0,DNAJB1,39.935013930693515,-348.0072645958582
default,0,KLF2,46.77928794715418,-476.9520058606006
default,0,RPL18A,70.59393270790436,-1084.1009139228697
default,0,UBA52,67.08264835163378,-979.105093947767
default,0,FXYD5,41.170902191038294,-369.78685755961317
default,0,HCST,45.50267497244096,-451.35824202473657
default,0,EIF3K,43.490238692967246,-412.4491596660485
default,0,GMFG,42.954926583808195,-402.39526680905385
default,0,RPS16,80.6413990413152,-1414.120844783933
default,0,RPS19,71.2246768774121,-1103.52887005143
default,0,SNRPD2,46.06263518271274,-462.4973241756957
default,0,NOP53,59.302648657668016,-765.5355729266976
default,0,RPL18,76.45850558741958,-1271.4032839701356
default,0,FLT3LG,39.13280679552597,-334.2250806063496
default,0,RPL13A,72.67070680400265,-1148.7209487872442
default,0,RPS11,52.068156088336536,-590.5211306975355
default,0,NOSIP,55.80614762731183,-678.1122041827604
default,0,RPS9,72.23479517326813,-1135.0020155960096
default,0,RPL28,78.62973762729563,-1344.5359878721706
default,0,RPS5,69.88485517573604,-1062.4664182334168
default,0,ZFAS1,39.71074572925162,-344.12613540779216
default,0,RPS21,78.00991352593806,-1323.4499367507706
default,0,LIME1,56.61451678775756,-697.8522222608728
default,0,MIF,48.08169471690162,-503.7919388654444
default,0,PIK3IP1,47.133956779939574,-484.1880453938832
default,0,RPL3,79.9926687686826,-1391.4888186660944
default,0,SMDT1,40.087915178891116,-350.6658501884584
default,0,TMSB4X,51.82881859872931,-585.1194522120974
default,0,UXT,45.962103769708705,-460.487465190288
default,0,RPS4X,77.53871599835608,-1307.5316883970154
default,0,RPL36A,73.13050458481999,-1163.281036775931
default,0,RPL39,79.2224377479227,-1364.8553276527743
default,0,RPL10,79.01995618016645,-1357.8965653603432
default,0,RPS4Y1,65.80290455150227,-942.1687895281177
default,1,ENO1,42.379160489665274,-391.72043142596027
default,1,PGD,44.27627622126467,-427.43743578480445
default,1,AGTRAP,42.02529232679274,-385.2310295393891
default,1,TNFRSF1B,39.953197795264536,-348.32290673109264
default,1,EFHD2,44.499071941323116,-431.7345182605388
default,1,SH3BGRL3,52.197792030234844,-593.4573053611958
default,1,FGR,47.477608106839135,-491.251390404531
default,1,LAPTM5,40.16666918790512,-352.0391524455626
default,1,CSF3R,51.46459085714055,-576.9468075937019
default,1,CAP1,43.1659198604437,-406.3431575907479
default,1,ATP6V0B,44.78988682437361,-437.3759108889942
default,1,C1orf162,43.219909143814526,-407.35645483151563
default,1,PLEKHO1,38.238506889091234,-319.18995042892305
default,1,MCL1,47.62889398954646,-494.3771442265285
default,1,CTSS,57.7197365464541,-725.3003109564627
default,1,S100A10,50.53265358396875,-556.2979389256194
default,1,S100A11,58.612495408776205,-747.8591537804236
default,1,S100A9,60.89727474152968,-807.1685560612495
default,1,S100A12,53.66020543419273,-627.0854606115207
default,1,S100A8,59.96869097908937,-782.7905453715796
default,1,S100A6,60.10320091036612,-786.2986329715033
default,1,S100A4,57.840087832255165,-728.3212496516289
default,1,TPM3,46.831340681054655,-478.01057940791236
default,1,MNDA,60.98117689274416,-809.3896718981829
default,1,FCER1G,54.51736893552851,-647.2275049618293
default,1,NCF2,52.33232715483095,-596.5121581607383
default,1,ARPC5,46.51450669762921,-471.5854746103943
default,1,RGS2,49.26381444887897,-528.7904901015606
default,1,LYST,42.954321171208264,-402.38396674913446
default,1,RHOB,43.87167711099081,-419.6889871231761
default,1,CCDC88A,43.58617801832354,-414.26417514488526
default,1,ACTR2,46.08051258218725,-462.85519481588005
default,1,TMSB10,44.10528636356657,-424.15415177689573
default,1,CAPG,48.91375607574396,-521.3245051912602
default,1,VAMP8,38.74870519705686,-327.7249701329104
default,1,ZEB2,45.5242552879312,-451.785009589245
default,1,CD302,51.29333786921811,-573.1240903324922
default,1,GCA,45.2227304448985,-445.84044131397906
default,1,ARPC2,37.769558442677564,-311.4446320488971
default,1,SLC11A1,44.020438063247546,-422.5296373913856
default,1,LRRFIP1,43.91544630447793,-420.5237801283485
default,1,ARPC4,41.394048517115024,-373.7899373047334
default,1,CMTM6,38.97907010995165,-331.6157256995155
default,1,RHOA,45.269727182520356,-446.76438667727666
default,1,GNAI2,47.66242629760365,-495.07130841827984
default,1,TKT,56.12741519088771,-685.9234456614611
default,1,CSTA,56.53717893162869,-695.9513930930859
default,1,C4orf48,42.236073632778094,-389.08989140385984
