# model = /Users/alexwolf/hholtz/01_projects/1512_scanpy/scanpy/scanpy/sim_models/krumsiek11.txt
# tmax = 160
# branching = True
# nrRealizations = 4
# noiseObs = 0
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1
   0  0.8032 -0.0005 -0.0001  0.0003  0.0013  0.0011  0.7997  0.8017  0.0006  0.0009  0.0002
   1  0.7239  0.0016 -0.0003 -0.0010  0.0011  0.0022  0.8195  0.7256  0.0784  0.0077  0.0941
   2  0.6578  0.0013 -0.0010 -0.0027  0.0025  0.0011  0.8358  0.6624  0.1105  0.0239  0.1497
   3  0.5972  0.0038 -0.0009 -0.0064  0.0007 -0.0036  0.8534  0.5992  0.1271  0.0311  0.1702
   4  0.5396  0.0071 -0.0029 -0.0063  0.0011 -0.0070  0.8656  0.5470  0.1385  0.0379  0.1752
   5  0.4897  0.0110 -0.0023 -0.0061  0.0013 -0.0034  0.8759  0.4998  0.1496  0.0459  0.1747
   6  0.4449  0.0153 -0.0020 -0.0089  0.0003 -0.0057  0.8854  0.4516  0.1569  0.0489  0.1727
   7  0.4078  0.0131 -0.0013 -0.0121 -0.0024 -0.0076  0.8986  0.4096  0.1666  0.0556  0.1661
   8  0.3719  0.0156  0.0021 -0.0105 -0.0007 -0.0066  0.9062  0.3742  0.1731  0.0631  0.1623
   9  0.3424  0.0175  0.0027 -0.0083 -0.0045 -0.0017  0.9135  0.3433  0.1781  0.0698  0.1565
  10  0.3143  0.0179 -0.0001 -0.0100 -0.0042 -0.0039  0.9191  0.3175  0.1891  0.0785  0.1473
  11  0.2900  0.0215 -0.0007 -0.0069 -0.0034 -0.0018  0.9280  0.2934  0.1988  0.0844  0.1371
  12  0.2674  0.0255 -0.0020 -0.0074 -0.0030 -0.0013  0.9373  0.2749  0.2103  0.0942  0.1301
  13  0.2519  0.0284 -0.0011 -0.0029 -0.0037 -0.0022  0.9424  0.2600  0.2211  0.1020  0.1193
  14  0.2353  0.0371  0.0009 -0.0017 -0.0018  0.0000  0.9492  0.2439  0.2336  0.1114  0.1089
  15  0.2210  0.0413  0.0009 -0.0028  0.0019  0.0025  0.9503  0.2353  0.2473  0.1219  0.1018
  16  0.2077  0.0423  0.0003 -0.0016  0.0047  0.0057  0.9527  0.2248  0.2645  0.1389  0.0915
  17  0.1986  0.0464 -0.0005  0.0012  0.0025  0.0081  0.9551  0.2187  0.2866  0.1572  0.0846
  18  0.1914  0.0531  0.0020  0.0035  0.0022  0.0143  0.9573  0.2117  0.3103  0.1756  0.0761
